date,close
1,558.13
2,553.98
3,567.00
4,589.70
5,599.00
6,630.28
7,666.70
8,634.98
9,645.44
10,643.34
11,543.70
12,580.13
13,605.23
14,622.77
15,626.20
16,628.44
17,636.23
18,633.68
19,624.31
20,629.32
21,618.63
22,599.55
23,609.86
24,617.62
25,614.48
26,606.98
