,Reporter Countries,Partner Countries,Element,Year Code,Value
197,Afghanistan,India,Import Quantity,2016,579.0
280,Afghanistan,Kazakhstan,Import Quantity,2016,399.0
298,Afghanistan,Kyrgyzstan,Import Quantity,2016,2.0
333,Afghanistan,Netherlands,Import Quantity,2016,12.0
361,Afghanistan,Pakistan,Import Quantity,2016,326690.0
493,Afghanistan,Turkey,Import Quantity,2016,39.0
539,Afghanistan,United Arab Emirates,Import Quantity,2016,32.0
617,Albania,Algeria,Import Quantity,2016,13175.0
663,Albania,Argentina,Import Quantity,2016,13577.0
788,Albania,Austria,Import Quantity,2016,12246.0
896,Albania,Belgium,Import Quantity,2016,1289.0
982,Albania,Bosnia and Herzegovina,Import Quantity,2016,1436.0
1023,Albania,Brazil,Import Quantity,2016,44640.0
1103,Albania,Bulgaria,Import Quantity,2016,13883.0
1147,Albania,Cameroon,Import Quantity,2016,81.0
1201,Albania,Canada,Import Quantity,2016,735.0
1237,Albania,Chile,Import Quantity,2016,5.0
1323,Albania,"China, mainland",Import Quantity,2016,1191.0
1359,Albania,Colombia,Import Quantity,2016,2904.0
1418,Albania,Costa Rica,Import Quantity,2016,59.0
1495,Albania,Croatia,Import Quantity,2016,5457.0
1527,Albania,Cuba,Import Quantity,2016,3.0
1568,Albania,Cyprus,Import Quantity,2016,42.0
1633,Albania,Czechia,Import Quantity,2016,104.0
1663,Albania,Côte d'Ivoire,Import Quantity,2016,82.0
1726,Albania,Denmark,Import Quantity,2016,227.0
1793,Albania,Ecuador,Import Quantity,2016,17604.0
1842,Albania,Egypt,Import Quantity,2016,439.0
1872,Albania,Estonia,Import Quantity,2016,6.0
1914,Albania,Ethiopia,Import Quantity,2016,28.0
2001,Albania,France,Import Quantity,2016,876.0
2087,Albania,Germany,Import Quantity,2016,13857.0
2177,Albania,Greece,Import Quantity,2016,171630.0
2213,Albania,Guatemala,Import Quantity,2016,11.0
2250,Albania,Honduras,Import Quantity,2016,26.0
2320,Albania,Hungary,Import Quantity,2016,23555.0
2390,Albania,India,Import Quantity,2016,3684.0
2426,Albania,Indonesia,Import Quantity,2016,1040.0
2464,Albania,Iran (Islamic Republic of),Import Quantity,2016,100.0
2524,Albania,Ireland,Import Quantity,2016,14.0
2642,Albania,Italy,Import Quantity,2016,102288.0
2750,Albania,Kazakhstan,Import Quantity,2016,8.0
2912,Albania,Lithuania,Import Quantity,2016,589.0
2997,Albania,Malaysia,Import Quantity,2016,1037.0
3079,Albania,Mexico,Import Quantity,2016,2992.0
3122,Albania,Montenegro,Import Quantity,2016,298.0
3147,Albania,Morocco,Import Quantity,2016,3.0
3226,Albania,Netherlands,Import Quantity,2016,8834.0
3372,Albania,North Macedonia,Import Quantity,2016,28493.0
3445,Albania,Pakistan,Import Quantity,2016,3237.0
3500,Albania,Paraguay,Import Quantity,2016,152.0
3600,Albania,Poland,Import Quantity,2016,4593.0
3764,Albania,Romania,Import Quantity,2016,19477.0
3825,Albania,Russian Federation,Import Quantity,2016,134399.0
3929,Albania,Serbia,Import Quantity,2016,270136.0
4133,Albania,Slovenia,Import Quantity,2016,11.0
4175,Albania,South Africa,Import Quantity,2016,201.0
4248,Albania,Spain,Import Quantity,2016,4095.0
4283,Albania,Sri Lanka,Import Quantity,2016,8.0
4416,Albania,Switzerland,Import Quantity,2016,18.0
4482,Albania,Thailand,Import Quantity,2016,343.0
4515,Albania,Tunisia,Import Quantity,2016,20.0
4583,Albania,Turkey,Import Quantity,2016,15945.0
4622,Albania,Uganda,Import Quantity,2016,96.0
4666,Albania,Ukraine,Import Quantity,2016,8414.0
4761,Albania,United Kingdom,Import Quantity,2016,735.0
4844,Albania,United States of America,Import Quantity,2016,3699.0
4977,Albania,Viet Nam,Import Quantity,2016,1121.0
5021,Algeria,Afghanistan,Import Quantity,2016,3.0
5065,Algeria,Albania,Import Quantity,2016,154.0
5113,Algeria,Antigua and Barbuda,Import Quantity,2016,24.0
5148,Algeria,Argentina,Import Quantity,2016,4134198.0
5218,Algeria,Australia,Import Quantity,2016,2394.0
5279,Algeria,Austria,Import Quantity,2016,4038.0
5313,Algeria,Azerbaijan,Import Quantity,2016,14.0
5330,Algeria,Bahamas,Import Quantity,2016,1.0
5475,Algeria,Belgium,Import Quantity,2016,58238.0
5657,Algeria,Brazil,Import Quantity,2016,2621280.0
5733,Algeria,Bulgaria,Import Quantity,2016,23116.0
5801,Algeria,Burkina Faso,Import Quantity,2016,34.0
5821,Algeria,Burundi,Import Quantity,2016,19.0
5868,Algeria,Cambodia,Import Quantity,2016,125.0
5938,Algeria,Cameroon,Import Quantity,2016,4049.0
6047,Algeria,Canada,Import Quantity,2016,1159587.0
6136,Algeria,Chile,Import Quantity,2016,570.0
6235,Algeria,"China, Taiwan Province of",Import Quantity,2016,10.0
6309,Algeria,"China, mainland",Import Quantity,2016,88146.0
6365,Algeria,Colombia,Import Quantity,2016,7719.0
6402,Algeria,Comoros,Import Quantity,2016,30.0
6463,Algeria,Costa Rica,Import Quantity,2016,40.0
6520,Algeria,Croatia,Import Quantity,2016,227.0
6679,Algeria,Czechia,Import Quantity,2016,98331.0
6763,Algeria,Côte d'Ivoire,Import Quantity,2016,54988.0
6890,Algeria,Denmark,Import Quantity,2016,16386.0
6975,Algeria,Ecuador,Import Quantity,2016,193718.0
7061,Algeria,Egypt,Import Quantity,2016,48499.0
7109,Algeria,El Salvador,Import Quantity,2016,27.0
7158,Algeria,Estonia,Import Quantity,2016,27350.0
7196,Algeria,Ethiopia,Import Quantity,2016,337.0
7258,Algeria,Finland,Import Quantity,2016,60230.0
7369,Algeria,France,Import Quantity,2016,4406026.0
7470,Algeria,Georgia,Import Quantity,2016,54.0
7560,Algeria,Germany,Import Quantity,2016,633458.0
7631,Algeria,Ghana,Import Quantity,2016,416.0
7711,Algeria,Greece,Import Quantity,2016,10129.0
7782,Algeria,Guatemala,Import Quantity,2016,2.0
7846,Algeria,Guinea,Import Quantity,2016,158.0
7888,Algeria,Haiti,Import Quantity,2016,2222.0
7959,Algeria,Hungary,Import Quantity,2016,15412.0
8057,Algeria,India,Import Quantity,2016,130526.0
8149,Algeria,Indonesia,Import Quantity,2016,75085.0
8204,Algeria,Iran (Islamic Republic of),Import Quantity,2016,5615.0
8257,Algeria,Iraq,Import Quantity,2016,120.0
8305,Algeria,Ireland,Import Quantity,2016,18627.0
8421,Algeria,Italy,Import Quantity,2016,61210.0
8602,Algeria,Jordan,Import Quantity,2016,672.0
8634,Algeria,Kazakhstan,Import Quantity,2016,1699.0
8666,Algeria,Kenya,Import Quantity,2016,1.0
8740,Algeria,Kyrgyzstan,Import Quantity,2016,977.0
8771,Algeria,Latvia,Import Quantity,2016,261061.0
8836,Algeria,Lebanon,Import Quantity,2016,2896.0
8978,Algeria,Lithuania,Import Quantity,2016,182331.0
9054,Algeria,Madagascar,Import Quantity,2016,153.0
9099,Algeria,Malawi,Import Quantity,2016,264.0
9171,Algeria,Malaysia,Import Quantity,2016,16587.0
9337,Algeria,Malta,Import Quantity,2016,130.0
9444,Algeria,Mexico,Import Quantity,2016,587287.0
9552,Algeria,Morocco,Import Quantity,2016,15965.0
9597,Algeria,Myanmar,Import Quantity,2016,24.0
9695,Algeria,Netherlands,Import Quantity,2016,130467.0
9773,Algeria,New Zealand,Import Quantity,2016,158830.0
9874,Algeria,Niger,Import Quantity,2016,8.0
9920,Algeria,Nigeria,Import Quantity,2016,531.0
9947,Algeria,North Macedonia,Import Quantity,2016,221.0
9992,Algeria,Norway,Import Quantity,2016,7.0
10033,Algeria,Oman,Import Quantity,2016,284.0
10080,Algeria,Pakistan,Import Quantity,2016,9602.0
10184,Algeria,Paraguay,Import Quantity,2016,74868.0
10273,Algeria,Philippines,Import Quantity,2016,428.0
10345,Algeria,Poland,Import Quantity,2016,342221.0
10433,Algeria,Portugal,Import Quantity,2016,13687.0
10532,Algeria,Republic of Korea,Import Quantity,2016,274.0
10566,Algeria,Republic of Moldova,Import Quantity,2016,12543.0
10616,Algeria,Romania,Import Quantity,2016,86411.0
10698,Algeria,Russian Federation,Import Quantity,2016,454025.0
10824,Algeria,Saudi Arabia,Import Quantity,2016,275.0
10946,Algeria,Serbia,Import Quantity,2016,9754.0
11054,Algeria,Singapore,Import Quantity,2016,57.0
11112,Algeria,Slovenia,Import Quantity,2016,38.0
11186,Algeria,South Africa,Import Quantity,2016,6211.0
11213,Algeria,South Sudan,Import Quantity,2016,2725.0
11303,Algeria,Spain,Import Quantity,2016,243856.0
11359,Algeria,Sri Lanka,Import Quantity,2016,77.0
11533,Algeria,Sweden,Import Quantity,2016,353864.0
11649,Algeria,Switzerland,Import Quantity,2016,30846.0
11749,Algeria,Syrian Arab Republic,Import Quantity,2016,7846.0
11804,Algeria,Tajikistan,Import Quantity,2016,7004.0
11867,Algeria,Thailand,Import Quantity,2016,30011.0
11927,Algeria,Togo,Import Quantity,2016,58.0
12037,Algeria,Tunisia,Import Quantity,2016,15038.0
12133,Algeria,Turkey,Import Quantity,2016,72306.0
12201,Algeria,Uganda,Import Quantity,2016,1081.0
12263,Algeria,Ukraine,Import Quantity,2016,561884.0
12349,Algeria,United Arab Emirates,Import Quantity,2016,2712.0
12449,Algeria,United Kingdom,Import Quantity,2016,658886.0
12508,Algeria,United Republic of Tanzania,Import Quantity,2016,221.0
12613,Algeria,United States of America,Import Quantity,2016,1035170.0
12716,Algeria,Uruguay,Import Quantity,2016,23712.0
12742,Algeria,Uzbekistan,Import Quantity,2016,22.0
12799,Algeria,Viet Nam,Import Quantity,2016,80620.0
12903,Algeria,Zimbabwe,Import Quantity,2016,812.0
12943,Antigua and Barbuda,Anguilla,Import Quantity,2016,2.0
12953,Antigua and Barbuda,Argentina,Import Quantity,2016,77.0
12981,Antigua and Barbuda,Australia,Import Quantity,2016,126.0
12994,Antigua and Barbuda,Austria,Import Quantity,2016,38.0
13005,Antigua and Barbuda,Bahamas,Import Quantity,2016,2.0
13031,Antigua and Barbuda,Barbados,Import Quantity,2016,343.0
13047,Antigua and Barbuda,Belgium,Import Quantity,2016,857.0
13063,Antigua and Barbuda,Belize,Import Quantity,2016,125.0
13085,Antigua and Barbuda,Brazil,Import Quantity,2016,2546.0
13113,Antigua and Barbuda,British Virgin Islands,Import Quantity,2016,17.0
13147,Antigua and Barbuda,Canada,Import Quantity,2016,1036.0
13171,Antigua and Barbuda,Chile,Import Quantity,2016,535.0
13192,Antigua and Barbuda,"China, Taiwan Province of",Import Quantity,2016,9.0
13209,Antigua and Barbuda,"China, mainland",Import Quantity,2016,112.0
13225,Antigua and Barbuda,Colombia,Import Quantity,2016,340.0
13245,Antigua and Barbuda,Costa Rica,Import Quantity,2016,149.0
13282,Antigua and Barbuda,Cyprus,Import Quantity,2016,434.0
13296,Antigua and Barbuda,Democratic People's Republic of Korea,Import Quantity,2016,11.0
13313,Antigua and Barbuda,Denmark,Import Quantity,2016,195.0
13341,Antigua and Barbuda,Dominica,Import Quantity,2016,881.0
13361,Antigua and Barbuda,Dominican Republic,Import Quantity,2016,419.0
13377,Antigua and Barbuda,Ecuador,Import Quantity,2016,4.0
13414,Antigua and Barbuda,Fiji,Import Quantity,2016,31.0
13424,Antigua and Barbuda,Finland,Import Quantity,2016,22.0
13448,Antigua and Barbuda,France,Import Quantity,2016,745.0
13462,Antigua and Barbuda,Georgia,Import Quantity,2016,1.0
13484,Antigua and Barbuda,Germany,Import Quantity,2016,179.0
13504,Antigua and Barbuda,Greece,Import Quantity,2016,2.0
13518,Antigua and Barbuda,Grenada,Import Quantity,2016,1945.0
13540,Antigua and Barbuda,Guatemala,Import Quantity,2016,1098.0
13568,Antigua and Barbuda,Guyana,Import Quantity,2016,2156.0
13586,Antigua and Barbuda,Honduras,Import Quantity,2016,12.0
13618,Antigua and Barbuda,India,Import Quantity,2016,10.0
13634,Antigua and Barbuda,Indonesia,Import Quantity,2016,27.0
13658,Antigua and Barbuda,Ireland,Import Quantity,2016,21.0
13686,Antigua and Barbuda,Italy,Import Quantity,2016,454.0
13708,Antigua and Barbuda,Jamaica,Import Quantity,2016,3094.0
13756,Antigua and Barbuda,Luxembourg,Import Quantity,2016,20.0
13770,Antigua and Barbuda,Malaysia,Import Quantity,2016,242.0
13792,Antigua and Barbuda,Mexico,Import Quantity,2016,650.0
13820,Antigua and Barbuda,Montserrat,Import Quantity,2016,1.0
13830,Antigua and Barbuda,Namibia,Import Quantity,2016,1.0
13854,Antigua and Barbuda,Netherlands,Import Quantity,2016,1697.0
13884,Antigua and Barbuda,New Zealand,Import Quantity,2016,86.0
13897,Antigua and Barbuda,Nicaragua,Import Quantity,2016,50.0
13904,Antigua and Barbuda,Niger,Import Quantity,2016,10.0
13935,Antigua and Barbuda,Pakistan,Import Quantity,2016,2.0
13952,Antigua and Barbuda,Panama,Import Quantity,2016,79.0
13968,Antigua and Barbuda,Peru,Import Quantity,2016,374.0
13982,Antigua and Barbuda,Philippines,Import Quantity,2016,24.0
13997,Antigua and Barbuda,Poland,Import Quantity,2016,72.0
14009,Antigua and Barbuda,Portugal,Import Quantity,2016,1.0
14023,Antigua and Barbuda,Republic of Korea,Import Quantity,2016,2.0
14059,Antigua and Barbuda,Saint Kitts and Nevis,Import Quantity,2016,398.0
14087,Antigua and Barbuda,Saint Lucia,Import Quantity,2016,1584.0
14115,Antigua and Barbuda,Saint Vincent and the Grenadines,Import Quantity,2016,5250.0
14126,Antigua and Barbuda,Saudi Arabia,Import Quantity,2016,4.0
14153,Antigua and Barbuda,South Africa,Import Quantity,2016,21.0
14169,Antigua and Barbuda,Spain,Import Quantity,2016,95.0
14183,Antigua and Barbuda,Sri Lanka,Import Quantity,2016,2.0
14203,Antigua and Barbuda,Sweden,Import Quantity,2016,66.0
14236,Antigua and Barbuda,Syrian Arab Republic,Import Quantity,2016,5.0
14251,Antigua and Barbuda,Thailand,Import Quantity,2016,61.0
14281,Antigua and Barbuda,Trinidad and Tobago,Import Quantity,2016,6789.0
14297,Antigua and Barbuda,Turkey,Import Quantity,2016,97.0
14316,Antigua and Barbuda,United Arab Emirates,Import Quantity,2016,3.0
14341,Antigua and Barbuda,United Kingdom,Import Quantity,2016,1902.0
14369,Antigua and Barbuda,United States of America,Import Quantity,2016,23645.0
14397,Antigua and Barbuda,Unspecified Area,Import Quantity,2016,637.0
14408,Antigua and Barbuda,Uruguay,Import Quantity,2016,70.0
14750,Argentina,Argentina,Import Quantity,2016,3870.0
14926,Argentina,Australia,Import Quantity,2016,2542.0
15046,Argentina,Austria,Import Quantity,2016,2480.0
15182,Argentina,Bahamas,Import Quantity,2016,3.0
15497,Argentina,Belgium,Import Quantity,2016,4635.0
15792,Argentina,Bolivia (Plurinational State of),Import Quantity,2016,144531.0
15980,Argentina,Brazil,Import Quantity,2016,281007.0
16143,Argentina,Bulgaria,Import Quantity,2016,149.0
16228,Argentina,Burundi,Import Quantity,2016,1.0
16498,Argentina,Canada,Import Quantity,2016,1942.0
16690,Argentina,Chile,Import Quantity,2016,94977.0
16805,Argentina,"China, Hong Kong SAR",Import Quantity,2016,2.0
16937,Argentina,"China, Taiwan Province of",Import Quantity,2016,401.0
17055,Argentina,"China, mainland",Import Quantity,2016,27016.0
17174,Argentina,Colombia,Import Quantity,2016,7798.0
17429,Argentina,Costa Rica,Import Quantity,2016,112.0
17636,Argentina,Cuba,Import Quantity,2016,898.0
17800,Argentina,Czechia,Import Quantity,2016,75.0
17932,Argentina,Côte d'Ivoire,Import Quantity,2016,1583.0
18125,Argentina,Denmark,Import Quantity,2016,4106.0
18388,Argentina,Dominican Republic,Import Quantity,2016,33.0
18503,Argentina,Ecuador,Import Quantity,2016,281331.0
18623,Argentina,Egypt,Import Quantity,2016,545.0
18735,Argentina,El Salvador,Import Quantity,2016,2.0
18870,Argentina,Estonia,Import Quantity,2016,29.0
18954,Argentina,Ethiopia,Import Quantity,2016,3.0
19117,Argentina,Finland,Import Quantity,2016,9.0
19236,Argentina,France,Import Quantity,2016,4360.0
19550,Argentina,Germany,Import Quantity,2016,10370.0
19736,Argentina,Greece,Import Quantity,2016,11.0
19851,Argentina,Grenada,Import Quantity,2016,30.0
19977,Argentina,Guatemala,Import Quantity,2016,938.0
20358,Argentina,Honduras,Import Quantity,2016,2.0
20467,Argentina,Hungary,Import Quantity,2016,472.0
20551,Argentina,Iceland,Import Quantity,2016,8.0
20656,Argentina,India,Import Quantity,2016,4409.0
20775,Argentina,Indonesia,Import Quantity,2016,40790.0
20887,Argentina,Iran (Islamic Republic of),Import Quantity,2016,74.0
21052,Argentina,Ireland,Import Quantity,2016,678.0
21172,Argentina,Israel,Import Quantity,2016,618.0
21292,Argentina,Italy,Import Quantity,2016,13420.0
21524,Argentina,Japan,Import Quantity,2016,121.0
21911,Argentina,Latvia,Import Quantity,2016,10.0
22004,Argentina,Lebanon,Import Quantity,2016,29.0
22217,Argentina,Lithuania,Import Quantity,2016,3.0
22321,Argentina,Madagascar,Import Quantity,2016,95.0
22395,Argentina,Malawi,Import Quantity,2016,103.0
22506,Argentina,Malaysia,Import Quantity,2016,14604.0
22886,Argentina,Mexico,Import Quantity,2016,19623.0
23069,Argentina,Morocco,Import Quantity,2016,100.0
23154,Argentina,Mozambique,Import Quantity,2016,2618.0
23409,Argentina,Netherlands,Import Quantity,2016,7885.0
23587,Argentina,New Zealand,Import Quantity,2016,1411.0
23692,Argentina,Nicaragua,Import Quantity,2016,15.0
23911,Argentina,North Macedonia,Import Quantity,2016,337.0
24018,Argentina,Norway,Import Quantity,2016,13.0
24194,Argentina,Pakistan,Import Quantity,2016,35.0
24331,Argentina,Panama,Import Quantity,2016,28.0
24479,Argentina,Paraguay,Import Quantity,2016,746479.0
24599,Argentina,Peru,Import Quantity,2016,3312.0
24719,Argentina,Philippines,Import Quantity,2016,1263.0
24848,Argentina,Poland,Import Quantity,2016,894.0
24967,Argentina,Portugal,Import Quantity,2016,65.0
25179,Argentina,Republic of Korea,Import Quantity,2016,694.0
25333,Argentina,Romania,Import Quantity,2016,164.0
25418,Argentina,Russian Federation,Import Quantity,2016,597.0
25832,Argentina,Serbia,Import Quantity,2016,34.0
25942,Argentina,Sierra Leone,Import Quantity,2016,2.0
26041,Argentina,Singapore,Import Quantity,2016,78.0
26194,Argentina,Slovenia,Import Quantity,2016,1.0
26321,Argentina,South Africa,Import Quantity,2016,726.0
26446,Argentina,Spain,Import Quantity,2016,8670.0
26564,Argentina,Sri Lanka,Import Quantity,2016,344.0
26824,Argentina,Sweden,Import Quantity,2016,863.0
26944,Argentina,Switzerland,Import Quantity,2016,601.0
27194,Argentina,Thailand,Import Quantity,2016,8824.0
27377,Argentina,Trinidad and Tobago,Import Quantity,2016,3.0
27481,Argentina,Tunisia,Import Quantity,2016,25.0
27593,Argentina,Turkey,Import Quantity,2016,4301.0
27692,Argentina,Uganda,Import Quantity,2016,1.0
27754,Argentina,Ukraine,Import Quantity,2016,60.0
27843,Argentina,United Arab Emirates,Import Quantity,2016,8.0
27946,Argentina,United Kingdom,Import Quantity,2016,5056.0
28052,Argentina,United Republic of Tanzania,Import Quantity,2016,149.0
28184,Argentina,United States of America,Import Quantity,2016,26310.0
28290,Argentina,Unspecified Area,Import Quantity,2016,1438.0
28405,Argentina,Uruguay,Import Quantity,2016,145243.0
28464,Argentina,Uzbekistan,Import Quantity,2016,30.0
28569,Argentina,Venezuela (Bolivarian Republic of),Import Quantity,2016,24.0
28663,Argentina,Viet Nam,Import Quantity,2016,4522.0
28927,Armenia,Anguilla,Import Quantity,2016,9.0
28950,Armenia,Argentina,Import Quantity,2016,2929.0
29015,Armenia,Australia,Import Quantity,2016,1.0
29070,Armenia,Austria,Import Quantity,2016,548.0
29141,Armenia,Bangladesh,Import Quantity,2016,1000.0
29209,Armenia,Belarus,Import Quantity,2016,2420.0
29272,Armenia,Belgium,Import Quantity,2016,724.0
29320,Armenia,Bosnia and Herzegovina,Import Quantity,2016,3.0
29356,Armenia,Brazil,Import Quantity,2016,56542.0
29439,Armenia,Bulgaria,Import Quantity,2016,335.0
29547,Armenia,Canada,Import Quantity,2016,1725.0
29584,Armenia,Chile,Import Quantity,2016,146.0
29679,Armenia,"China, Taiwan Province of",Import Quantity,2016,49.0
29735,Armenia,"China, mainland",Import Quantity,2016,2875.0
29844,Armenia,Croatia,Import Quantity,2016,4.0
29870,Armenia,Cuba,Import Quantity,2016,1.0
29925,Armenia,Cyprus,Import Quantity,2016,73.0
29989,Armenia,Czechia,Import Quantity,2016,81.0
30021,Armenia,Côte d'Ivoire,Import Quantity,2016,448.0
30033,Armenia,Democratic People's Republic of Korea,Import Quantity,2016,2.0
30065,Armenia,Denmark,Import Quantity,2016,135.0
30117,Armenia,Dominican Republic,Import Quantity,2016,1.0
30143,Armenia,Ecuador,Import Quantity,2016,134.0
30190,Armenia,Egypt,Import Quantity,2016,37.0
30263,Armenia,Estonia,Import Quantity,2016,17.0
30310,Armenia,Fiji,Import Quantity,2016,1.0
30347,Armenia,Finland,Import Quantity,2016,650.0
30415,Armenia,France,Import Quantity,2016,557.0
30489,Armenia,Georgia,Import Quantity,2016,27025.0
30557,Armenia,Germany,Import Quantity,2016,4982.0
30588,Armenia,Ghana,Import Quantity,2016,306.0
30651,Armenia,Greece,Import Quantity,2016,219.0
30769,Armenia,Hungary,Import Quantity,2016,976.0
30833,Armenia,India,Import Quantity,2016,5800.0
30868,Armenia,Indonesia,Import Quantity,2016,73.0
30933,Armenia,Iran (Islamic Republic of),Import Quantity,2016,1306.0
31002,Armenia,Ireland,Import Quantity,2016,136.0
31067,Armenia,Israel,Import Quantity,2016,291.0
31133,Armenia,Italy,Import Quantity,2016,6319.0
31205,Armenia,Japan,Import Quantity,2016,1.0
31303,Armenia,Kazakhstan,Import Quantity,2016,164.0
31371,Armenia,Kuwait,Import Quantity,2016,2.0
31477,Armenia,Latvia,Import Quantity,2016,28.0
31545,Armenia,Lebanon,Import Quantity,2016,29.0
31627,Armenia,Lithuania,Import Quantity,2016,17.0
31703,Armenia,Malawi,Import Quantity,2016,991.0
31752,Armenia,Malaysia,Import Quantity,2016,995.0
31779,Armenia,Mali,Import Quantity,2016,22.0
31808,Armenia,Mauritius,Import Quantity,2016,21.0
31842,Armenia,Mexico,Import Quantity,2016,122.0
31977,Armenia,Netherlands,Import Quantity,2016,1018.0
32016,Armenia,New Zealand,Import Quantity,2016,1.0
32071,Armenia,Nigeria,Import Quantity,2016,202.0
32128,Armenia,Norway,Import Quantity,2016,2.0
32190,Armenia,Pakistan,Import Quantity,2016,2546.0
32281,Armenia,Peru,Import Quantity,2016,2.0
32318,Armenia,Philippines,Import Quantity,2016,33.0
32381,Armenia,Poland,Import Quantity,2016,2664.0
32423,Armenia,Portugal,Import Quantity,2016,790.0
32498,Armenia,Republic of Korea,Import Quantity,2016,187.0
32557,Armenia,Republic of Moldova,Import Quantity,2016,174.0
32606,Armenia,Romania,Import Quantity,2016,628.0
32672,Armenia,Russian Federation,Import Quantity,2016,503558.0
32722,Armenia,Saudi Arabia,Import Quantity,2016,19.0
32759,Armenia,Serbia,Import Quantity,2016,77.0
32788,Armenia,Sierra Leone,Import Quantity,2016,196.0
32836,Armenia,Singapore,Import Quantity,2016,19.0
32886,Armenia,Slovakia,Import Quantity,2016,3.0
32924,Armenia,Slovenia,Import Quantity,2016,29.0
32971,Armenia,South Africa,Import Quantity,2016,1311.0
33025,Armenia,Spain,Import Quantity,2016,1845.0
33150,Armenia,Sweden,Import Quantity,2016,356.0
33216,Armenia,Switzerland,Import Quantity,2016,101.0
33274,Armenia,Syrian Arab Republic,Import Quantity,2016,58.0
33338,Armenia,Thailand,Import Quantity,2016,5457.0
33359,Armenia,Togo,Import Quantity,2016,276.0
33375,Armenia,Trinidad and Tobago,Import Quantity,2016,3.0
33442,Armenia,Turkey,Import Quantity,2016,1311.0
33509,Armenia,Turkmenistan,Import Quantity,2016,92.0
33598,Armenia,Ukraine,Import Quantity,2016,30282.0
33666,Armenia,United Arab Emirates,Import Quantity,2016,1209.0
33732,Armenia,United Kingdom,Import Quantity,2016,162.0
33826,Armenia,United States of America,Import Quantity,2016,177.0
33886,Armenia,Unspecified Area,Import Quantity,2016,4262.0
33971,Armenia,Uzbekistan,Import Quantity,2016,40.0
34026,Armenia,Viet Nam,Import Quantity,2016,838.0
34078,Armenia,Zimbabwe,Import Quantity,2016,1386.0
34371,Aruba,Brazil,Import Quantity,2016,6072.0
34489,Aruba,"China, Hong Kong SAR",Import Quantity,2016,25.0
34561,Aruba,"China, mainland",Import Quantity,2016,201.0
34625,Aruba,Colombia,Import Quantity,2016,3091.0
35481,Aruba,Mexico,Import Quantity,2016,507.0
35559,Aruba,Netherlands,Import Quantity,2016,22924.0
35715,Aruba,Panama,Import Quantity,2016,1066.0
35758,Aruba,Paraguay,Import Quantity,2016,860.0
35882,Aruba,Republic of Korea,Import Quantity,2016,180.0
36363,Aruba,United Kingdom,Import Quantity,2016,2384.0
36427,Aruba,United States of America,Import Quantity,2016,63112.0
36491,Aruba,Unspecified Area,Import Quantity,2016,19644.0
36593,Aruba,Venezuela (Bolivarian Republic of),Import Quantity,2016,4969.0
36679,Australia,Afghanistan,Import Quantity,2016,79.0
36764,Australia,Albania,Import Quantity,2016,10.0
36858,Australia,Algeria,Import Quantity,2016,12.0
36955,Australia,American Samoa,Import Quantity,2016,6.0
37114,Australia,Antigua and Barbuda,Import Quantity,2016,312.0
37216,Australia,Argentina,Import Quantity,2016,747976.0
37302,Australia,Armenia,Import Quantity,2016,1.0
37380,Australia,Australia,Import Quantity,2016,6982.0
37492,Australia,Austria,Import Quantity,2016,54206.0
37577,Australia,Azerbaijan,Import Quantity,2016,98.0
37679,Australia,Bahamas,Import Quantity,2016,224.0
37786,Australia,Bahrain,Import Quantity,2016,15.0
37897,Australia,Bangladesh,Import Quantity,2016,1990.0
38017,Australia,Barbados,Import Quantity,2016,318.0
38083,Australia,Belarus,Import Quantity,2016,43.0
38143,Australia,Belgium,Import Quantity,2016,72098.0
38257,Australia,Belize,Import Quantity,2016,15.0
38380,Australia,Bermuda,Import Quantity,2016,69.0
38468,Australia,Bolivia (Plurinational State of),Import Quantity,2016,1394.0
38557,Australia,Bosnia and Herzegovina,Import Quantity,2016,765.0
38712,Australia,Brazil,Import Quantity,2016,88862.0
38806,Australia,British Virgin Islands,Import Quantity,2016,2.0
38985,Australia,Bulgaria,Import Quantity,2016,5562.0
39038,Australia,Burkina Faso,Import Quantity,2016,4.0
39080,Australia,Burundi,Import Quantity,2016,67.0
39187,Australia,Cambodia,Import Quantity,2016,1823.0
39367,Australia,Canada,Import Quantity,2016,53983.0
39581,Australia,Chile,Import Quantity,2016,27028.0
39700,Australia,"China, Hong Kong SAR",Import Quantity,2016,14815.0
39809,Australia,"China, Macao SAR",Import Quantity,2016,48.0
39922,Australia,"China, Taiwan Province of",Import Quantity,2016,24564.0
40040,Australia,"China, mainland",Import Quantity,2016,328791.0
40239,Australia,Colombia,Import Quantity,2016,12180.0
40319,Australia,Comoros,Import Quantity,2016,15.0
40469,Australia,Cook Islands,Import Quantity,2016,3.0
40581,Australia,Costa Rica,Import Quantity,2016,3471.0
40683,Australia,Croatia,Import Quantity,2016,3386.0
40783,Australia,Cuba,Import Quantity,2016,730.0
40903,Australia,Cyprus,Import Quantity,2016,2117.0
41002,Australia,Czechia,Import Quantity,2016,4992.0
41139,Australia,Côte d'Ivoire,Import Quantity,2016,3560.0
41272,Australia,Democratic Republic of the Congo,Import Quantity,2016,17.0
41379,Australia,Denmark,Import Quantity,2016,71861.0
41473,Australia,Djibouti,Import Quantity,2016,194.0
41646,Australia,Dominican Republic,Import Quantity,2016,73.0
41766,Australia,Ecuador,Import Quantity,2016,3104.0
41886,Australia,Egypt,Import Quantity,2016,5419.0
