,year,CTY_CODE,CTYNAME,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
123,2007,12,Europe,29619.22131,28794.99101,35527.42005,33900.97784,34518.61187,34613.030810000004,36320.6393,34743.1289,31312.084189999998,38768.612539999995,36224.616,33130.493480000005,407473.8273,21651.23388,21396.651990000002,25657.99932,23344.7245,24598.22753,24335.01693,21808.465940000002,23852.08905,23659.00456,24771.90761,24081.21786,23912.32213,283068.8613
124,2008,12,Europe,32571.864869999998,34922.67333,36705.37636,38446.02465,38264.523389999995,40868.57537,42165.0037,36420.408339999994,35121.245039999994,37922.43821,31118.3163,30676.90557,435203.3551,24540.98043,27968.74836,28977.11776,28650.237310000004,28314.875360000002,29849.171619999997,29129.914660000002,28133.55353,25372.6246,26693.6595,24137.21128,23229.02069,324997.1151
125,2009,12,Europe,24700.74003,25102.16841,27940.682310000004,27210.148889999997,24840.87272,27254.13523,30177.70002,26077.34823,27819.980330000002,30173.355030000002,29992.56767,29926.15823,331215.8571,20588.97637,21456.691880000002,23133.29121,20499.45725,21620.757680000002,21843.93495,20174.88619,19797.08058,21145.41643,23958.31234,21499.32062,22343.44735,258061.5728
126,2010,12,Europe,25937.436130000002,26937.83052,33238.31944,30271.06925,31292.977430000003,33130.50576,34467.54485,33157.19903,31674.83505,34175.52475,33779.45478,33821.92204,381884.619,21651.36964,20707.33965,24803.99408,22558.9804,23411.93823,24157.36175,22267.2617,23308.23216,23847.75594,26197.92613,25471.08943,27208.424639999997,285591.6738
127,2011,12,Europe,32046.230710000003,31174.30824,40324.2823,38785.2608,39732.290310000004,39220.88506,36780.59291,37608.31924,36297.14162,38538.45785,38884.57482,39222.59813,448614.94200000004,24507.95554,24388.6286,30216.05426,28288.5608,27523.965630000002,27729.08715,25896.10884,27715.84615,28434.663269999997,28460.968310000004,26784.37264,28708.72982,328654.941
128,2012,12,Europe,35583.668939999996,34525.3202,41506.63668,37156.12654,40047.8575,38158.64154,39447.61825,38595.0713,35551.46372,38876.93853,39800.24741,36051.47649,455301.0671,26279.38591,28219.1689,31724.8028,27541.466269999997,28019.054930000002,29057.33415,25719.02298,26132.23765,26655.12657,26843.92284,26171.777159999998,26841.4274,329204.7275
129,2013,12,Europe,34655.73072,34087.64052,39200.20691,39860.64766,40612.6876,36050.50455,0.0,0.0,0.0,0.0,0.0,0.0,224467.418,24919.33003,25270.81352,28618.073269999997,27867.96464,28250.73051,29311.07488,0.0,0.0,0.0,0.0,0.0,0.0,164237.9868
136,2007,13,Africa,6770.653073,5551.019125,7458.606545000001,7239.926794,7978.283934,7576.208214,7871.229998999999,8546.008595000001,7640.504228,7582.699009999999,8524.903695,9273.010805,92013.05402000001,1497.930684,1807.931329,2080.589431,1609.167271,1573.323379,1867.212006,1806.1632989999998,2197.4647019999998,2350.188451,2385.06581,2146.352917,2104.4316059999996,23425.82089
137,2008,13,Africa,10095.71563,8057.7066079999995,9169.248459999999,10599.72358,10450.6309,12347.6584,12546.61047,11706.14365,8323.463931,9258.332916,5555.587954,5384.731304,113495.5538,1962.782842,2346.308168,2277.015008,2279.949375,2171.717706,2325.3884129999997,2661.568976,3104.715107,2121.905103,2588.182633,2235.30767,2317.85959,28392.700589999997
138,2009,13,Africa,4027.251708,3470.779997,4324.9019450000005,4289.684972,3969.070922,5048.671598,5613.970365,5552.285729,6726.619240000001,5916.943840999999,6309.367437,7154.06592,62403.613670000006,1831.49957,2052.009673,1932.0580300000001,1978.779263,1732.3246199999999,2002.829903,2054.876929,2375.673579,2106.701534,2183.066175,2033.622343,2046.0439820000001,24329.4856
139,2010,13,Africa,6631.5885530000005,5711.224704,7908.5602819999995,7613.329309000001,6991.417726000001,6922.2210939999995,7403.648043000001,7970.62476,7886.906229000001,6486.77371,6092.792795,7389.010854000001,85008.09806,1760.4840780000002,1951.2072879999998,2639.762099,2143.375934,2206.374748,1967.711891,2170.126661,2639.386644,2673.031571,2772.9658600000002,2594.866218,2820.633665,28339.92666
140,2011,13,Africa,8273.871645000001,7085.728169,8178.365168,7843.892623000001,8354.381194,8612.454261,8604.027296,8458.548013,7357.223096,6642.884247,7200.538673999999,6397.1453950000005,93009.05978,2584.827586,2830.5358699999997,2840.7263399999997,3190.4523059999997,2646.9649050000003,2664.695017,2765.596241,2820.921008,2648.857525,2591.200211,2365.846438,2890.684304,32841.30775
141,2012,13,Africa,6331.776507,4520.479501,6101.379265,6132.932855,6465.416856,6307.858872,4953.608822,5556.622343,5652.082858,6185.430559,4689.222854,3920.3150130000004,66817.12631,2268.146171,2404.148421,3045.8270199999997,2781.725394,3071.373614,2655.587521,2458.5897600000003,2707.718277,3187.042079,2833.822266,2662.7002030000003,2660.81993,32737.50066
142,2013,13,Africa,5096.1020149999995,3188.066398,4421.958275,4374.151925,5253.861797,5165.376435,0.0,0.0,0.0,0.0,0.0,0.0,27499.51685,2461.240423,3243.057738,3837.6104939999996,2510.9410510000002,2751.844597,3177.1529649999998,0.0,0.0,0.0,0.0,0.0,0.0,17981.84727
149,2007,14,Pacific Rim,52540.61124,48327.38213,50754.76667,51208.98291,51904.26171,53818.4303,57080.08373,56020.01752,55472.48565,60770.15462,57841.0734,52102.0331,647840.2829999999,20939.15702,20195.29707,23953.36791,21865.84561,22515.0756,24157.02685,21669.42675,23749.79193,22884.42101,24400.285359999998,23477.64091,25729.62202,275536.958
